,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Bragantino,Meia,Hyoran,7.87,0.14,2.5,5.4,10,15,,,,1.0,1.0,,,,13.0,,,,,2.0,,,,,2.0,,85931,280,4,0.0
1,Palmeiras,Meia,Raphael Veiga,14.97,0.25,3.6,5.5,9,15,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,,94509,275,4,0.0
2,Palmeiras,Atacante,Rony,11.68,-1.18,5.6,6.13,14,15,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,91607,275,5,5.6
3,Palmeiras,Lateral,Piquerez,7.91,0.36,3.7,6.15,9,15,,,,,2.0,1.0,,,6.0,,,,,4.0,,,1.0,,2.0,1.0,102130,275,2,0.0
4,Fluminense,Zagueiro,Nino,13.44,0.8,8.8,5.32,11,15,,,,,,3.0,,1.0,,,1.0,,,2.0,,,,,,,91708,266,3,0.0
5,Palmeiras,Zagueiro,Gustavo Gómez,14.79,-0.46,-0.7,7.67,10,15,,,,,,,,,4.0,,,,,,,,,,1.0,,71684,275,3,0.0
6,Palmeiras,Goleiro,Weverton,10.38,0.1,1.0,3.91,12,15,,,,,,,,,,,,,3.0,,,,,2.0,,,71631,275,1,0.0
7,Palmeiras,Técnico,Abel Ferreira,12.85,-0.09,3.27,6.3,14,15,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
8,Palmeiras,Meia,Gustavo Scarpa,12.53,0.16,6.5,8.11,13,15,,,1.0,2.0,3.0,2.0,,,23.0,,,,,,,,,,,,87999,275,4,0.0
9,Atlético-MG,Atacante,Hulk,20.86,0.45,9.5,7.79,12,15,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,39148,282,5,0.0
10,Bragantino,Lateral,Luan Cândido,8.95,-0.42,4.1,6.58,10,15,,,,,3.0,2.0,,2.0,12.0,,,,,2.0,,,,,1.0,,100848,280,2,0.0
11,Fluminense,Atacante,Cano,14.88,2.55,16.3,6.27,15,15,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,79631,266,5,0.0
