,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Atlético-MG,Atacante,Hulk,17.68,4.68,24.8,12.4,1,1,1.0,,,1.0,2.0,5.0,,2.0,4.0,1.0,,,,,,,,,1.0,,39148,282,5,24.8
1,Cuiabá,Goleiro,Walter,3.83,-1.17,0.5,0.5,1,1,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,51413,1371,1,0.0
2,Outros,Técnico,Alberto Valentim,3.93,1.93,3.65,3.65,1,1,,,,,,,,,,,,,,,,,,,,,84863,1,6,0.0
3,Athlético-PR,Zagueiro,Pedro Henrique,8.84,1.84,5.7,5.7,1,1,,,,,,1.0,,,3.0,,1.0,,,1.0,,,,,1.0,,87225,293,3,0.0
4,Internacional,Atacante,Yuri Alberto,3.76,-2.24,-0.6,-0.6,1,1,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,100652,285,5,0.0
5,São Paulo,Meia,Gabriel Sara,5.5,-3.5,-1.1,-1.1,1,1,,,,,,,,,6.0,,,,,,,,,,1.0,,100763,276,4,0.0
6,Internacional,Lateral,Moisés,5.22,-2.78,-0.5,-0.5,1,1,,,,,1.0,1.0,,,8.0,,,,,2.0,,,1.0,,2.0,,90444,285,2,0.0
7,Atlético-MG,Lateral,Guilherme Arana,8.98,-0.02,3.9,3.9,1,1,,,,1.0,,1.0,,,8.0,,,,,3.0,,,,,,,87228,282,2,0.0
8,Corinthians,Zagueiro,Raul Gustavo,3.06,0.06,1.4,1.4,1,1,,,,,,1.0,,,6.0,,,,,2.0,,,,,1.0,,109389,264,3,0.0
9,Santos,Meia,Gabriel Pirani,3.13,-0.87,0.5,0.5,1,1,,,,1.0,,1.0,,,12.0,,,,,,,,,,,,110607,277,4,0.0
10,Athlético-PR,Atacante,Vitinho,5.85,0.85,3.4,3.4,1,1,,,,,1.0,3.0,,,4.0,,,,,2.0,,,,,1.0,,101960,293,5,0.0
11,Corinthians,Meia,Luan,3.9,-2.1,-0.4,-0.4,1,1,,,,2.0,1.0,1.0,,,11.0,,,,,,,,1.0,,2.0,,86759,264,4,0.0
12,Fluminense,Lateral,Samuel Xavier,10.07,1.51,5.7,5.5,2,2,,,,,,2.0,,,13.0,,1.0,,,3.0,,,,,4.0,,73384,266,2,0.0
13,Juventude,Zagueiro,Vitor Mendes,1.88,0.91,2.5,1.45,2,2,,,,,1.0,2.0,,,3.0,,,,,1.0,,,,,,,104401,286,3,0.0
14,Bragantino,Meia,Lucas Evangelista,15.75,1.41,3.1,8.85,2,2,,,,,1.0,1.0,,,7.0,,,,,3.0,,,,,1.0,,84674,280,4,0.0
