,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,São Paulo,Atacante,Calleri,24.09,-0.47,1.8,7.13,15,15,,,,,1.0,2.0,,1.0,4.0,,,,,1.0,,,1.0,,2.0,,89840,276,5,1.8
1,Palmeiras,Técnico,Abel Ferreira,12.85,-0.09,3.27,6.3,14,15,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
2,Corinthians,Goleiro,Cássio,11.16,-1.25,-1.0,5.48,13,15,,,,,,,,,,,,,3.0,,,,,4.0,,,42234,264,1,0.0
3,Palmeiras,Meia,Zé Rafael,14.03,0.48,5.4,6.11,13,15,,,,,1.0,4.0,,,7.0,,,,,3.0,,,,,1.0,,82455,275,4,0.0
4,Bragantino,Lateral,Aderlan,7.31,-0.28,0.5,3.18,10,15,,,,,1.0,,,,9.0,,,,,1.0,,,,,2.0,,88423,280,2,0.0
5,Bragantino,Meia,Hyoran,7.87,0.14,2.5,5.4,10,15,,,,1.0,1.0,,,,13.0,,,,,2.0,,,,,2.0,,85931,280,4,0.0
6,Bragantino,Zagueiro,Léo Ortiz,10.69,-0.22,1.5,4.86,8,15,,,,,,,,1.0,5.0,,,,,2.0,,,,,1.0,,97867,280,3,0.0
7,Palmeiras,Zagueiro,Murilo,8.69,-1.0,1.2,4.74,13,15,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,97653,275,3,0.0
8,Palmeiras,Meia,Raphael Veiga,14.97,0.25,3.6,5.5,9,15,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,,94509,275,4,0.0
9,Bragantino,Atacante,Artur,7.85,0.26,3.4,5.75,10,15,,,,,2.0,2.0,,1.0,15.0,,,,,2.0,,,,,,,95799,280,5,0.0
