,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,São Paulo,Meia,Liziero,3.97,-2.03,-0.3,-0.3,1,1,,,,,,1.0,,,3.0,,,,,1.0,,,,,3.0,,100761,276,4,0.0
1,Cuiabá,Meia,Pepê,6.82,1.82,4.8,4.8,1,1,,,,,,4.0,,,7.0,,,,,5.0,,,,,3.0,,101573,1371,4,0.0
2,Bahia,Meia,Thaciano,16.71,10.71,18.0,18.0,1,1,2.0,,,,1.0,1.0,,,3.0,,,,,2.0,,,,,2.0,,87470,265,4,0.0
3,Outros,Técnico,Alberto Valentim,3.93,1.93,3.65,3.65,1,1,,,,,,,,,,,,,,,,,,,,,84863,1,6,0.0
4,Bragantino,Zagueiro,Léo Ortiz,6.96,1.96,5.0,5.0,1,1,,,,,,,,,5.0,,1.0,,,1.0,,,,,1.0,,97867,280,3,0.0
5,Atlético-MG,Atacante,Marrony,5.29,-0.71,1.6,1.6,1,1,,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,101717,282,5,0.0
6,Internacional,Atacante,Palacios,2.99,-3.01,-1.7,-1.7,1,1,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,110568,285,5,0.0
7,Corinthians,Lateral,Lucas Piton,5.22,1.22,3.5,3.5,1,1,,,,1.0,1.0,2.0,,,15.0,,,,,3.0,,,,,2.0,,105584,264,2,0.0
8,Flamengo,Lateral,Filipe Luís,5.36,0.36,5.4,2.7,1,1,,,,,,,,,13.0,,1.0,,,1.0,,,,,4.0,,38750,262,2,5.4
9,Cuiabá,Goleiro,Walter,3.83,-1.17,0.5,0.5,1,1,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,51413,1371,1,0.0
10,Bahia,Atacante,Gilberto,4.39,-0.61,1.3,1.3,1,1,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,61188,265,5,0.0
11,Internacional,Zagueiro,Lucas Ribeiro,0.7,-4.3,-4.3,-4.3,1,1,,,,,,1.0,,,8.0,,,,,1.0,,,1.0,,6.0,,103088,285,3,0.0
12,Atlético-GO,Lateral,Igor Cariús,12.22,2.68,4.8,8.25,2,2,,,,,,,,1.0,12.0,,1.0,,,2.0,,,,,1.0,,91639,373,2,0.0
13,Juventude,Meia,Wescley,8.36,0.28,0.3,4.45,2,2,,,,,,2.0,,,7.0,,,,,,,,,,,,70925,286,4,0.0
14,Atlético-GO,Atacante,Zé Roberto,11.24,0.45,3.8,5.7,2,2,,,,1.0,,3.0,,,8.0,,,,,1.0,,,,,2.0,,80076,373,5,3.8
15,Bahia,Meia,Thaciano,17.64,0.93,1.3,9.65,2,2,,,,,,,,,2.0,,,,,2.0,,,,,1.0,,87470,265,4,0.0
16,Bragantino,Zagueiro,Léo Ortiz,7.09,0.13,1.6,3.3,2,2,,,,,,,,,4.0,,,,,2.0,,,,,,,97867,280,3,0.0
17,Fluminense,Atacante,Caio Paulista,8.97,0.62,1.0,5.0,2,2,,,,1.0,,2.0,,,2.0,,,,,,,,,,2.0,,102318,266,5,0.0
18,Bragantino,Meia,Eric Ramires,6.57,0.1,1.0,3.15,2,2,,,,,,,,,,,,,,2.0,,,,,2.0,,103295,280,4,0.0
19,Sport,Técnico,Umberto Louzer,4.19,0.37,1.08,2.29,2,2,,,,,,,,,,,,,,,,,,,,,101077,292,6,0.0
20,Fluminense,Zagueiro,Manoel,6.73,0.73,5.7,5.7,1,2,,,,,,,,,3.0,,1.0,,,1.0,,,,,,,69014,266,3,0.0
21,Santos,Goleiro,John Victor,4.72,-1.28,1.0,1.0,1,2,,,,,,,,,,,,,2.0,,,,,1.0,,,94044,277,1,0.0
22,Bragantino,Lateral,Luan Cândido,13.05,4.07,10.2,9.05,2,2,1.0,,,,3.0,,,1.0,12.0,,,,,3.0,,,,,3.0,,100848,280,2,0.0
23,Juventude,Atacante,Matheus Peixoto,11.77,1.05,2.0,6.7,2,2,,,,,1.0,4.0,,,3.0,,,,,,,,,,1.0,,87098,286,5,0.0
