,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Palmeiras,Zagueiro,Gustavo Gómez,14.79,-0.46,-0.7,7.67,10,15,,,,,,,,,4.0,,,,,,,,,,1.0,,71684,275,3,0.0
1,Flamengo,Meia,Arrascaeta,17.81,-2.07,-0.3,8.06,11,15,,,,,,,,,3.0,,,,,,,,,,,,87863,262,4,0.0
2,Bragantino,Meia,Hyoran,7.87,0.14,2.5,5.4,10,15,,,,1.0,1.0,,,,13.0,,,,,2.0,,,,,2.0,,85931,280,4,0.0
3,Palmeiras,Atacante,Rony,11.68,-1.18,2.8,6.13,14,15,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,91607,275,5,0.0
4,Ceará,Goleiro,Vinicius Machado,2.64,-0.17,4.0,5.5,2,15,,,,,,,,,,,,,5.0,,,,,1.0,,,106819,354,1,0.0
5,Palmeiras,Técnico,Abel Ferreira,12.85,-0.09,3.27,6.3,14,15,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
6,Fluminense,Lateral,Samuel Xavier,10.0,1.24,12.8,6.73,11,15,,1.0,,,2.0,2.0,,,7.0,,1.0,,,1.0,,,,,1.0,,73384,266,2,0.0
7,Santos,Atacante,Marcos Leonardo,12.51,0.35,5.6,6.6,12,15,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,109497,277,5,5.6
8,Palmeiras,Lateral,Piquerez,7.91,0.36,3.7,6.15,9,15,,,,,2.0,1.0,,,6.0,,,,,4.0,,,1.0,,2.0,1.0,102130,275,2,0.0
9,Bragantino,Atacante,Artur,7.85,0.26,3.4,5.75,10,15,,,,,2.0,2.0,,1.0,15.0,,,,,2.0,,,,,,,95799,280,5,0.0
10,Corinthians,Zagueiro,Robson Bambu,5.94,0.12,4.6,6.2,4,15,,,,,,2.0,,,,,,,,3.0,,,,,,,101579,264,3,0.0
11,Palmeiras,Meia,Raphael Veiga,14.97,0.25,3.6,5.5,9,15,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,,94509,275,4,0.0
12,Corinthians,Técnico,Vítor Pereira,12.18,-0.35,4.66,5.44,13,14,,,,,,,,,,,,,,,,,,,,,77713,264,6,0.0
13,Atlético-MG,Atacante,Hulk,20.41,0.0,0.0,7.63,11,14,,,,,,,,,,,,,,,,,,,,,39148,282,5,0.0
14,Internacional,Meia,Alan Patrick,8.58,0.0,0.0,5.38,9,14,,,,,,,,,,,,,,,,,,,,,68685,285,4,0.0
15,Fluminense,Atacante,Cano,12.33,-0.77,3.0,5.55,14,14,,,,2.0,1.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,79631,266,5,0.0
16,Palmeiras,Goleiro,Weverton,10.28,-0.3,0.0,4.18,11,14,,,,,,,,,,,,,2.0,,,,,2.0,,,71631,275,1,0.0
17,Palmeiras,Lateral,Piquerez,7.55,0.0,0.0,6.46,8,14,,,,,,,,,,,,,,,,,,,,,102130,275,2,0.0
18,Atlético-MG,Lateral,Guilherme Arana,11.27,-0.99,0.2,4.11,9,14,,,,,1.0,,,,12.0,,,,,1.0,,,,,2.0,,87228,282,2,0.0
19,Corinthians,Zagueiro,Raul Gustavo,8.12,-0.38,3.8,4.97,12,14,,,,,,,,,6.0,,1.0,,,,,,,,2.0,,109389,264,3,0.0
20,Internacional,Zagueiro,Mercado,5.89,0.0,0.0,2.66,11,14,,,,,,,,,,,,,,,,,,,,,72951,285,3,0.0
21,Fortaleza,Meia,Yago Pikachu,10.32,-1.13,2.8,5.61,11,14,,,,1.0,1.0,1.0,,,6.0,,,,,1.0,,,,,1.0,,80196,356,4,0.0
22,Atlético-MG,Meia,Nacho Fernández,12.94,0.0,0.0,6.06,11,14,,,,,,,,,,,,,,,,,,,,,94916,282,4,0.0
23,Palmeiras,Atacante,Rony,12.86,2.07,11.6,6.39,13,14,1.0,,,1.0,,1.0,,,5.0,,,,,2.0,,,,,,,91607,275,5,0.0
24,Corinthians,Técnico,Vítor Pereira,12.53,0.84,7.64,5.51,12,13,,,,,,,,,,,,,,,,,,,,,77713,264,6,0.0
25,Internacional,Zagueiro,Mercado,5.89,-1.13,-3.5,2.66,11,13,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,72951,285,3,0.0
26,Corinthians,Zagueiro,Raul Gustavo,8.5,1.1,7.1,5.08,11,13,,,,,,,,,3.0,,1.0,,,2.0,,,,,,,109389,264,3,0.0
27,Atlético-MG,Atacante,Hulk,20.41,0.61,13.4,7.63,11,13,,1.0,,,,3.0,,,4.0,,,,,1.0,,,,,2.0,,39148,282,5,13.4
28,Fortaleza,Meia,Yago Pikachu,11.45,1.28,10.9,5.89,10,13,1.0,,,1.0,1.0,1.0,,,8.0,,,,,1.0,,,,,,,80196,356,4,0.0
