,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Flamengo,Meia,Arrascaeta,13.85,-1.15,4.9,4.9,1,1,,,,2.0,,3.0,,,10.0,,,,,2.0,,,,,,,87863,262,4,0.0
1,Athlético-PR,Atacante,Renato Kayzer,9.96,-1.04,3.3,3.3,1,1,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,92696,293,5,0.0
2,Outros,Técnico,Alberto Valentim,3.93,1.93,3.65,3.65,1,1,,,,,,,,,,,,,,,,,,,,,84863,1,6,0.0
3,Chapecoense,Goleiro,Tiepo,4.18,0.18,2.0,2.0,1,1,,,,,,,,,,,,,5.0,,,,,3.0,,,98412,315,1,0.0
4,Atlético-MG,Lateral,Guilherme Arana,8.98,-0.02,3.9,3.9,1,1,,,,1.0,,1.0,,,8.0,,,,,3.0,,,,,,,87228,282,2,0.0
5,Internacional,Atacante,Thiago Galhardo,10.44,-4.56,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,71844,285,5,0.0
6,Santos,Meia,Alison,3.9,-1.1,0.6,0.6,1,1,,,,,,3.0,,,4.0,,,,,3.0,,,1.0,,3.0,,73974,277,4,0.0
7,Internacional,Lateral,Saravia,7.17,-2.83,0.3,0.3,1,1,,,,,,1.0,,,12.0,,,,,2.0,,,,,2.0,,96725,285,2,0.0
8,Fluminense,Meia,Nenê,5.43,-6.57,-4.2,-4.2,1,1,,,,1.0,,,1.0,,9.0,,,,,,,,,,1.0,,38913,266,4,0.0
9,Santos,Zagueiro,Kaiky,3.76,-0.24,1.4,1.4,1,1,,,,,,,,,6.0,,,,,2.0,,,,,,,111637,277,3,0.0
10,Cuiabá,Zagueiro,Anderson Conceição,2.78,-2.22,-1.0,-1.0,1,1,,,,,1.0,,,,8.0,,,,,1.0,,,,,4.0,,71618,1371,3,0.0
11,Atlético-MG,Atacante,Marrony,5.29,-0.71,1.6,1.6,1,1,,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,101717,282,5,0.0
12,Corinthians,Goleiro,Cássio,12.53,1.39,10.0,5.5,2,2,,,,,,,,,,,1.0,,4.0,1.0,,,,,,,42234,264,1,0.0
13,Palmeiras,Atacante,Rony,8.85,-0.69,7.2,2.65,2,2,,,,1.0,2.0,,,1.0,7.0,,,,,2.0,,,,,,,91607,275,5,7.2
14,Atlético-MG,Meia,Allan,3.82,-0.36,2.6,0.8,2,2,,,,,,2.0,,,9.0,,,,,3.0,,,,,1.0,,96652,282,4,0.0
