,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Fluminense,Goleiro,Fábio,11.43,0.39,7.0,4.54,15,15,,,,,,,,,,,1.0,,2.0,,,,,,,,37656,266,1,0.0
1,Fluminense,Técnico,Fernando Diniz,10.61,0.97,9.6,4.95,11,15,,,,,,,,,,,,,,,,,,,,,72391,266,6,0.0
2,Palmeiras,Meia,Raphael Veiga,14.97,0.25,3.6,5.5,9,15,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,,94509,275,4,0.0
3,Bragantino,Lateral,Luan Cândido,8.95,-0.42,4.1,6.58,10,15,,,,,3.0,2.0,,2.0,12.0,,,,,2.0,,,,,1.0,,100848,280,2,0.0
4,Bragantino,Meia,Hyoran,7.87,0.14,2.5,5.4,10,15,,,,1.0,1.0,,,,13.0,,,,,2.0,,,,,2.0,,85931,280,4,0.0
5,Fluminense,Atacante,Cano,14.88,2.55,16.3,6.27,15,15,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,79631,266,5,0.0
6,Palmeiras,Meia,Zé Rafael,14.03,0.48,5.4,6.11,13,15,,,,,1.0,4.0,,,7.0,,,,,3.0,,,,,1.0,,82455,275,4,0.0
7,Atlético-MG,Atacante,Hulk,20.86,0.45,19.0,7.79,12,15,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,39148,282,5,19.0
8,Avaí,Atacante,Bissoli,8.02,-1.38,0.6,5.56,14,15,,,,,1.0,1.0,,1.0,6.0,,,,,,,,,,,,100762,314,5,0.0
9,Fluminense,Zagueiro,Nino,13.44,0.8,8.8,5.32,11,15,,,,,,3.0,,1.0,,,1.0,,,2.0,,,,,,,91708,266,3,0.0
10,Fluminense,Lateral,Samuel Xavier,10.0,1.24,12.8,6.73,11,15,,1.0,,,2.0,2.0,,,7.0,,1.0,,,1.0,,,,,1.0,,73384,266,2,0.0
11,Palmeiras,Zagueiro,Murilo,8.69,-1.0,1.2,4.74,13,15,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,97653,275,3,0.0
12,Palmeiras,Meia,Gustavo Scarpa,12.37,-0.65,7.0,8.24,12,14,1.0,,,,,1.0,,,9.0,,,,,,,,,,2.0,,87999,275,4,0.0
13,Flamengo,Atacante,Pedro,9.0,1.98,11.1,2.85,11,14,,1.0,1.0,,1.0,2.0,,1.0,7.0,,,,,2.0,,,,,1.0,,94583,262,5,0.0
14,Flamengo,Meia,Arrascaeta,19.88,1.95,26.8,8.9,10,14,1.0,,,,,4.0,,,12.0,1.0,,,,3.0,,,,,,,87863,262,4,26.8
15,Bragantino,Meia,Hyoran,7.73,-1.04,2.0,5.72,9,14,,,,,2.0,,,,8.0,,,,,1.0,,,,,,,85931,280,4,0.0
16,Palmeiras,Lateral,Jorge,3.46,0.03,3.8,3.93,7,14,,,,,1.0,1.0,,,8.0,,,,,3.0,,,,,1.0,,88065,275,2,0.0
17,Flamengo,Lateral,Ayrton Lucas,7.5,0.54,6.3,5.04,10,14,,,,,,1.0,,,7.0,,1.0,,,2.0,,,,,3.0,,88393,262,2,0.0
18,Palmeiras,Zagueiro,Gustavo Gómez,15.25,-1.07,1.5,8.6,9,14,,,,,,1.0,,,7.0,,,,,3.0,,,,,3.0,1.0,71684,275,3,0.0
19,Flamengo,Goleiro,Santos,9.97,-1.03,10.0,10.0,1,14,,,,,,,,,,,1.0,,5.0,,,,,,,,69012,262,1,0.0
20,São Paulo,Atacante,Calleri,24.56,-0.07,3.1,7.58,14,14,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,89840,276,5,0.0
21,São Paulo,Zagueiro,Miranda,6.48,0.95,5.5,3.68,5,14,,,,,1.0,,,,3.0,,1.0,,,1.0,,,,,4.0,,38141,276,3,0.0
22,Flamengo,Técnico,Dorival Júnior,8.91,1.27,9.1,4.34,13,14,,,,,,,,,,,,,,,,,,,,,40990,262,6,0.0
23,Bragantino,Atacante,Artur,7.59,-0.98,2.3,6.01,9,14,,,,2.0,1.0,,,,9.0,,,,,,,,,,,,95799,280,5,0.0
24,Palmeiras,Meia,Gustavo Scarpa,13.02,1.11,26.2,8.35,11,13,,2.0,,1.0,2.0,4.0,,,17.0,,,,,,,,,,,,87999,275,4,26.2
25,Corinthians,Zagueiro,Raul Gustavo,8.5,1.1,7.1,5.08,11,13,,,,,,,,,3.0,,1.0,,,2.0,,,,,,,109389,264,3,0.0
26,Fluminense,Atacante,Cano,13.1,1.09,8.3,5.75,13,13,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,79631,266,5,0.0
27,Corinthians,Técnico,Vítor Pereira,12.53,0.84,7.64,5.51,12,13,,,,,,,,,,,,,,,,,,,,,77713,264,6,0.0
28,Corinthians,Meia,Renato Augusto,7.07,0.24,4.2,2.78,11,13,,,,,,1.0,,,8.0,,,,,4.0,,,,,1.0,,38398,264,4,0.0
29,Flamengo,Meia,Arrascaeta,17.93,-1.2,2.2,8.4,9,13,,,,,1.0,3.0,,,13.0,,,,,1.0,,,,,,,87863,262,4,0.0
30,Corinthians,Goleiro,Cássio,12.23,1.04,7.0,5.93,11,13,,,,,,,,,,,1.0,,2.0,,,,,,,,42234,264,1,0.0
31,Atlético-MG,Atacante,Hulk,20.41,0.61,6.7,7.63,11,13,,1.0,,,,3.0,,,4.0,,,,,1.0,,,,,2.0,,39148,282,5,0.0
32,Santos,Zagueiro,Eduardo Bauermann,8.83,-0.8,1.0,3.53,10,13,,,,,,,,,2.0,,,,,1.0,,,,,,,86970,277,3,0.0
33,Palmeiras,Atacante,Dudu,11.43,-0.43,0.1,4.91,12,13,,,,,,2.0,,,9.0,,,,,,,,,,,,68920,275,5,0.0
34,Fluminense,Zagueiro,Nino,12.61,0.07,5.8,4.92,9,13,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,91708,266,3,0.0
35,Atlético-GO,Meia,Wellington Rato,11.3,1.71,9.9,4.7,13,13,1.0,,,,4.0,,,,7.0,,,,,,,,,,2.0,,82766,373,4,0.0
36,Palmeiras,Zagueiro,Gustavo Gómez,18.03,1.39,22.1,9.7,7,12,2.0,,,2.0,1.0,1.0,,,6.0,,,,,3.0,,,,,2.0,,71684,275,3,0.0
37,Bragantino,Atacante,Artur,8.92,1.53,15.1,6.04,7,12,1.0,1.0,,,,1.0,,,8.0,,,,,2.0,,,,,,,95799,280,5,0.0
38,Bragantino,Zagueiro,Léo Ortiz,10.83,-0.42,1.2,5.73,6,12,,,,,,1.0,,,7.0,,,,,2.0,,,1.0,,,,97867,280,3,0.0
39,Palmeiras,Goleiro,Weverton,10.41,-1.72,-1.0,5.0,9,12,,,,,,,,,,,,,1.0,,,,,2.0,,,71631,275,1,0.0
40,Palmeiras,Lateral,Piquerez,7.95,-0.54,4.0,7.2,7,12,,,,1.0,1.0,1.0,,,6.0,,,,,2.0,,,,,1.0,,102130,275,2,0.0
41,Bragantino,Meia,Hyoran,10.5,4.62,25.1,5.73,7,12,2.0,1.0,,2.0,1.0,1.0,,,11.0,,,,,2.0,,,,,3.0,,85931,280,4,0.0
42,Flamengo,Lateral,Matheuzinho,7.77,1.29,7.7,4.76,8,12,,,,,,,,,9.0,,1.0,,,3.0,,,,,,,101727,262,2,0.0
43,Palmeiras,Técnico,Abel Ferreira,13.14,-0.05,6.77,6.85,11,12,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
44,Palmeiras,Atacante,Rony,11.45,-0.85,3.2,6.53,11,12,,,,1.0,2.0,,,,2.0,,,,,1.0,,,,,2.0,,91607,275,5,0.0
45,Flamengo,Meia,Arrascaeta,19.13,-0.2,9.9,9.17,8,12,,1.0,1.0,,2.0,3.0,,,12.0,,,,,,,,,,,,87863,262,4,0.0
46,Palmeiras,Meia,Gustavo Scarpa,11.91,0.66,18.2,7.88,10,12,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,87999,275,4,18.2
47,Flamengo,Atacante,Bruno Henrique,14.9,-0.81,5.1,5.88,8,12,,1.0,,,,1.0,,2.0,2.0,,,,,,,,,,,,90285,262,5,0.0
48,São Paulo,Técnico,Rogério Ceni,12.12,0.69,6.56,4.38,11,11,,,,,,,,,,,,,,,,,,,,,97341,276,6,0.0
49,Atlético-MG,Meia,Nacho Fernández,12.52,0.02,4.6,6.48,9,11,,,,,,1.0,,,7.0,,,,,4.0,,,,,,,94916,282,4,0.0
50,Corinthians,Meia,Willian,16.11,0.59,12.1,4.84,9,11,,,,,2.0,6.0,,,6.0,,,,,7.0,,,,,1.0,,42135,264,4,0.0
51,Fortaleza,Meia,Yago Pikachu,10.17,-1.64,3.3,5.33,9,11,,,,2.0,2.0,2.0,,,4.0,,,,,,,,1.0,,1.0,,80196,356,4,0.0
52,Fluminense,Goleiro,Fábio,10.07,0.71,4.0,3.45,11,11,,,,,,,,,,,,,6.0,,,,,2.0,,,37656,266,1,0.0
53,Corinthians,Atacante,Róger Guedes,13.88,-0.48,1.2,4.29,9,11,,,,,1.0,,,2.0,3.0,,,,,1.0,,,,,1.0,,89898,264,5,0.0
54,Botafogo,Zagueiro,Víctor Cuesta,7.65,0.04,2.4,3.49,9,11,,,,1.0,,,,,6.0,,,,,2.0,,,,,2.0,,79113,263,3,0.0
55,Atlético-MG,Atacante,Hulk,20.38,-1.04,8.4,8.28,9,11,,,1.0,,,2.0,,1.0,6.0,,,,,1.0,,,,,1.0,,39148,282,5,8.4
56,Atlético-MG,Lateral,Guilherme Arana,11.29,-1.87,0.8,3.98,6,11,,,,,2.0,,,,7.0,,,,,1.0,,,1.0,,1.0,,87228,282,2,0.0
57,São Paulo,Atacante,Calleri,25.57,-1.79,2.0,9.15,11,11,,,,,1.0,3.0,,2.0,10.0,,,,,1.0,,,,,1.0,,89840,276,5,0.0
58,Corinthians,Lateral,Rafael Ramos,10.58,2.74,18.1,7.1,7,11,,1.0,,,1.0,1.0,,,16.0,,1.0,,,7.0,,,,,,,93236,264,2,0.0
59,Corinthians,Zagueiro,Raul Gustavo,8.22,0.53,6.3,5.29,9,11,,,,,,1.0,,,4.0,,1.0,,,1.0,,,,,,,109389,264,3,0.0
60,Palmeiras,Técnico,Abel Ferreira,13.15,0.55,9.06,6.77,9,10,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
61,Fortaleza,Meia,Yago Pikachu,11.81,2.47,15.4,5.58,8,10,1.0,,,,1.0,5.0,,,7.0,,,,,4.0,,,,,,,80196,356,4,0.0
62,Palmeiras,Meia,Gustavo Scarpa,13.06,3.04,41.6,7.95,8,10,1.0,2.0,,,2.0,3.0,,,3.0,,,,,,,,,,,,87999,275,4,41.6
63,Coritiba,Atacante,Igor Paixão,15.44,0.03,6.1,7.87,9,10,,,,,,3.0,,,1.0,,,,,5.0,,,1.0,,1.0,,104530,294,5,0.0
64,Atlético-MG,Meia,Rubens,5.47,-0.77,1.6,4.68,8,10,,,,,1.0,,,,6.0,,,,,3.0,,,1.0,,4.0,,110727,282,4,0.0
65,Atlético-MG,Atacante,Hulk,21.42,1.31,10.4,8.79,8,10,1.0,,,,3.0,1.0,,2.0,3.0,,,,,,,,,,,,39148,282,5,0.0
66,Palmeiras,Lateral,Marcos Rocha,9.45,0.13,6.5,6.46,8,10,,,,,,,,,21.0,,1.0,,,3.0,,,,,,,63013,275,2,0.0
67,Palmeiras,Atacante,Rony,13.14,2.85,17.3,6.66,9,10,2.0,,,1.0,,,,1.0,4.0,,,,,1.0,,,,,2.0,,91607,275,5,0.0
68,Santos,Goleiro,João Paulo,14.08,0.39,5.2,4.42,10,10,,,,,,,,,,,,,5.0,1.0,,,,1.0,,,85425,277,1,0.0
69,Palmeiras,Lateral,Piquerez,8.61,0.81,11.9,7.64,5,10,,1.0,,,,,,,4.0,,1.0,,,3.0,,,1.0,,1.0,,102130,275,2,0.0
70,Juventude,Zagueiro,Vitor Mendes,5.95,0.55,6.6,4.95,7,10,,,,,2.0,2.0,,,5.0,,,,,4.0,,,,,1.0,,104401,286,3,0.0
71,Fortaleza,Zagueiro,Marcelo Benevenuto,5.66,-0.43,0.4,1.77,8,10,,,,,,1.0,,,1.0,,,,,,,,,,,,95638,356,3,0.0
72,Flamengo,Técnico,Paulo Sousa,9.88,-0.05,3.45,4.74,8,9,,,,,,,,,,,,,,,,,,,,,89284,262,6,0.0
