,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Bahia,Atacante,Gilberto,4.39,-0.61,1.3,1.3,1,1,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,61188,265,5,0.0
1,Internacional,Atacante,Yuri Alberto,3.76,-2.24,-0.6,-0.6,1,1,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,100652,285,5,0.0
2,São Paulo,Meia,Gabriel Sara,5.5,-3.5,-1.1,-1.1,1,1,,,,,,,,,6.0,,,,,,,,,,1.0,,100763,276,4,0.0
3,Corinthians,Meia,Mateus Vital,6.13,-1.87,0.8,0.8,1,1,,,,1.0,,2.0,1.0,,9.0,,,,,4.0,,,,,1.0,,93108,264,4,0.0
4,Outros,Técnico,Alberto Valentim,3.93,1.93,3.65,3.65,1,1,,,,,,,,,,,,,,,,,,,,,84863,1,6,0.0
5,Internacional,Zagueiro,Lucas Ribeiro,0.7,-4.3,-4.3,-4.3,1,1,,,,,,1.0,,,8.0,,,,,1.0,,,1.0,,6.0,,103088,285,3,0.0
6,Athlético-PR,Meia,Nikão,6.34,-4.66,-1.9,-1.9,1,1,,,,1.0,,,,,11.0,,,,,1.0,,,1.0,,2.0,,69705,293,4,0.0
7,Flamengo,Lateral,Filipe Luís,5.36,0.36,2.7,2.7,1,1,,,,,,,,,13.0,,1.0,,,1.0,,,,,4.0,,38750,262,2,0.0
8,Atlético-MG,Lateral,Guilherme Arana,8.98,-0.02,3.9,3.9,1,1,,,,1.0,,1.0,,,8.0,,,,,3.0,,,,,,,87228,282,2,0.0
9,Cuiabá,Goleiro,Walter,3.83,-1.17,0.5,0.5,1,1,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,51413,1371,1,0.0
10,Atlético-MG,Atacante,Hulk,17.68,4.68,24.8,12.4,1,1,1.0,,,1.0,2.0,5.0,,2.0,4.0,1.0,,,,,,,,,1.0,,39148,282,5,24.8
11,Bragantino,Zagueiro,Léo Ortiz,6.96,1.96,5.0,5.0,1,1,,,,,,,,,5.0,,1.0,,,1.0,,,,,1.0,,97867,280,3,0.0
12,São Paulo,Lateral,Léo,9.25,-0.22,-0.6,4.5,2,2,,,,1.0,,2.0,,,8.0,,,,,2.0,,,1.0,,4.0,,85626,276,2,0.0
13,Fluminense,Atacante,Caio Paulista,8.97,0.62,2.0,5.0,2,2,,,,1.0,,2.0,,,2.0,,,,,,,,,,2.0,,102318,266,5,2.0
14,Atlético-GO,Meia,Willian Maranhão,3.59,-0.73,-0.3,0.95,2,2,,,,,,2.0,,,3.0,,,,,3.0,,,1.0,,4.0,,87262,373,4,0.0
15,Palmeiras,Atacante,Luiz Adriano,10.04,1.89,8.7,5.2,2,2,1.0,,,,,,,,3.0,,,,,1.0,,,,,,,72772,275,5,0.0
16,Fluminense,Meia,Gabriel Teixeira,8.37,3.98,10.0,6.65,2,2,1.0,,,,,3.0,,,,,,,,1.0,,,,,1.0,,110760,266,4,0.0
17,Juventude,Atacante,Matheus Peixoto,11.77,1.05,2.0,6.7,2,2,,,,,1.0,4.0,,,3.0,,,,,,,,,,1.0,,87098,286,5,0.0
18,Fluminense,Lateral,Egídio,11.84,2.37,8.1,6.85,2,2,,,,1.0,,2.0,,,6.0,,1.0,,,3.0,,,,,3.0,,42145,266,2,0.0
19,Palmeiras,Zagueiro,Luan,4.09,-0.02,2.1,1.5,2,2,,,,,,1.0,,,4.0,,,,,2.0,,,,,,,80692,275,3,0.0
20,Bahia,Goleiro,Mateus Claus,8.05,0.39,0.0,4.5,2,2,,,,,,,,,,,,,3.0,,,,,3.0,,,90590,265,1,0.0
21,Bragantino,Zagueiro,Léo Ortiz,7.09,0.13,1.6,3.3,2,2,,,,,,,,,4.0,,,,,2.0,,,,,,,97867,280,3,0.0
22,Fluminense,Técnico,Roger Machado ,8.08,1.07,4.45,4.26,2,2,,,,,,,,,,,,,,,,,,,,,79437,266,6,0.0
23,Juventude,Meia,Guilherme Castilho,5.12,0.46,1.7,2.7,2,2,,,,,,4.0,,,8.0,,,,,1.0,,,,,1.0,,101798,286,4,0.0
24,Palmeiras,Goleiro,Jailson,3.94,0.22,2.0,2.0,2,3,,,,,,,,,,,,,3.0,,,,,1.0,,,72290,275,1,0.0
25,Flamengo,Lateral,Filipe Luís,7.19,1.83,7.8,5.25,2,3,,,,,,1.0,,,7.0,,1.0,,,4.0,,,,,2.0,,38750,262,2,0.0
26,Santos,Zagueiro,Luan Peres,4.54,0.4,2.2,0.5,3,3,,,,,,1.0,,,8.0,,1.0,,,,,,1.0,,1.0,,84847,277,3,0.0
27,Santos,Meia,Jean Mota,8.98,-1.98,-1.9,4.8,3,3,,,,1.0,,1.0,,,11.0,,,,,1.0,,,1.0,,3.0,,78548,277,4,0.0
