,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Palmeiras,Lateral,Piquerez,7.91,0.36,3.7,6.15,9,15,,,,,2.0,1.0,,,6.0,,,,,4.0,,,1.0,,2.0,1.0,102130,275,2,0.0
1,Fluminense,Zagueiro,Nino,13.44,0.8,8.8,5.32,11,15,,,,,,3.0,,1.0,,,1.0,,,2.0,,,,,,,91708,266,3,0.0
2,São Paulo,Atacante,Calleri,24.09,-0.47,1.8,7.13,15,15,,,,,1.0,2.0,,1.0,4.0,,,,,1.0,,,1.0,,2.0,,89840,276,5,1.8
3,Palmeiras,Zagueiro,Murilo,8.69,-1.0,1.2,4.74,13,15,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,97653,275,3,0.0
4,Santos,Atacante,Marcos Leonardo,12.51,0.35,2.8,6.6,12,15,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,109497,277,5,0.0
5,Palmeiras,Técnico,Abel Ferreira,12.85,-0.09,3.27,6.3,14,15,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
6,Palmeiras,Goleiro,Weverton,10.38,0.1,1.0,3.91,12,15,,,,,,,,,,,,,3.0,,,,,2.0,,,71631,275,1,0.0
7,América-MG,Meia,Alê,9.05,0.23,3.7,3.94,11,15,,,,,1.0,2.0,,,5.0,,,,,2.0,,,,,,,86388,327,4,0.0
8,Palmeiras,Meia,Raphael Veiga,14.97,0.25,3.6,5.5,9,15,,,,,3.0,1.0,,,5.0,,,,,1.0,,,,,,,94509,275,4,0.0
9,Fortaleza,Meia,Yago Pikachu,9.72,-0.6,-0.7,5.08,12,15,,,,,,,,1.0,3.0,,,,,,,,,,1.0,,80196,356,4,0.0
10,Bragantino,Atacante,Artur,7.85,0.26,3.4,5.75,10,15,,,,,2.0,2.0,,1.0,15.0,,,,,2.0,,,,,,,95799,280,5,0.0
11,Atlético-MG,Lateral,Guilherme Arana,11.48,0.21,1.8,3.88,10,15,,,,,1.0,,,,8.0,,,,,2.0,,,,,2.0,,87228,282,2,0.0
12,Flamengo,Técnico,Dorival Júnior,8.91,1.27,9.1,4.34,13,14,,,,,,,,,,,,,,,,,,,,,40990,262,6,0.0
13,Palmeiras,Meia,Zé Rafael,13.55,-0.72,3.0,6.17,12,14,,,,,,3.0,,,6.0,,,,,2.0,,,,,1.0,,82455,275,4,0.0
14,São Paulo,Atacante,Calleri,24.56,-0.07,6.2,7.58,14,14,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,89840,276,5,6.2
15,Flamengo,Meia,Arrascaeta,19.88,1.95,13.4,8.9,10,14,1.0,,,,,4.0,,,12.0,1.0,,,,3.0,,,,,,,87863,262,4,0.0
16,São Paulo,Zagueiro,Miranda,6.48,0.95,5.5,3.68,5,14,,,,,1.0,,,,3.0,,1.0,,,1.0,,,,,4.0,,38141,276,3,0.0
17,São Paulo,Goleiro,Jandrei,8.0,0.81,7.0,2.96,14,14,,,,,,,,,,,1.0,,2.0,,,,,,,,86508,276,1,0.0
18,Flamengo,Lateral,Ayrton Lucas,7.5,0.54,6.3,5.04,10,14,,,,,,1.0,,,7.0,,1.0,,,2.0,,,,,3.0,,88393,262,2,0.0
19,Flamengo,Zagueiro,Léo Pereira,3.85,0.41,6.6,2.6,5,14,,,,,1.0,,,,4.0,,1.0,,,1.0,,,,,,,83528,262,3,0.0
20,Flamengo,Atacante,Pedro,9.0,1.98,11.1,2.85,11,14,,1.0,1.0,,1.0,2.0,,1.0,7.0,,,,,2.0,,,,,1.0,,94583,262,5,0.0
21,Palmeiras,Lateral,Jorge,3.46,0.03,3.8,3.93,7,14,,,,,1.0,1.0,,,8.0,,,,,3.0,,,,,1.0,,88065,275,2,0.0
22,Flamengo,Atacante,Gabriel,11.11,1.64,9.5,3.53,12,14,1.0,,1.0,2.0,1.0,,1.0,1.0,3.0,,,,,,,,,,1.0,,83257,262,5,0.0
23,Palmeiras,Meia,Gustavo Scarpa,12.37,-0.65,7.0,8.24,12,14,1.0,,,,,1.0,,,9.0,,,,,,,,,,2.0,,87999,275,4,0.0
24,Atlético-GO,Meia,Wellington Rato,11.3,1.71,9.9,4.7,13,13,1.0,,,,4.0,,,,7.0,,,,,,,,,,2.0,,82766,373,4,0.0
25,Flamengo,Meia,Arrascaeta,17.93,-1.2,2.2,8.4,9,13,,,,,1.0,3.0,,,13.0,,,,,1.0,,,,,,,87863,262,4,0.0
26,Fluminense,Atacante,Cano,13.1,1.09,16.6,5.75,13,13,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,79631,266,5,16.6
27,Corinthians,Técnico,Vítor Pereira,12.53,0.84,7.64,5.51,12,13,,,,,,,,,,,,,,,,,,,,,77713,264,6,0.0
